"label"	"lineagemut2"
"TN|Cavalese|Ph1_RUN3_NB07|20A|B.1|2020/03/09"	"B.1"
"TN|Cembra_Lisignago|Ph1_RUN1_NB06|20A|B.1|2020/03/09"	"B.1"
"TN|Cenate_Sotto|Ph1_RUN1_NB13|20A|B.1|2020/03/19"	"B.1"
"TN|Cles|Ph1_RUN3_NB18|20A|B.1|2020/03/10"	"B.1"
"TN|Cles|Ph1_RUN3_NB20|20A|B.1|2020/03/11"	"B.1"
"TN|Codogno|Ph1_RUN3_NB12|20A|B.1|2020/03/20"	"B.1"
"TN|Comano_Terme|Ph1_RUN2_NB01|20A|B.1|2020/03/07"	"B.1"
"TN|Comano_Terme|Ph1_RUN3_NB03|20A|B.1|2020/03/07"	"B.1"
"TN|Dro|Ph1_RUN3_NB01|20A|B.1|2020/03/02"	"B.1"
"TN|Ledro|Ph1_RUN1_NB11|20B|B.1.1|2020/03/14"	"B.1.1"
"TN|Levico_Terme|Ph1_RUN2_NB03|20A|B.1|2020/03/09"	"B.1"
"TN|Male|Ph1_RUN1_NB14|20B|B.1.1.29|2020/03/19"	"B.1.1.29"
"TN|Male|Ph1_RUN1_NB15|20A|B.1|2020/03/20"	"B.1"
"TN|Nogaredo|Ph1_RUN2_NB09|20A|B.1|2020/03/19"	"B.1"
"TN|Novella|Ph1_RUN2_NB16|20A|B.1|2020/03/21"	"B.1"
"TN|Pergine_Valsugana|Ph1_RUN1_NB18|20A|B.1|2020/03/09"	"B.1"
"TN|Pergine_Valsugana|Ph1_RUN1_NB22|20A|B.1|2020/03/10"	"B.1"
"TN|Pergine_Valsugana|Ph1_RUN1_NB23|20A|B.1|2020/03/10"	"B.1"
"TN|Pergine_Valsugana|Ph1_RUN2_NB19|20A|B.1|2020/03/10"	"B.1"
"TN|Pergine_Valsugana|Ph1_RUN2_NB20|20A|B.1|2020/03/10"	"B.1"
"TN|Pergine_Valsugana|Ph1_RUN2_NB24|20A|B.1|2020/03/10"	"B.1"
"TN|Pergine_Valsugana|Ph1_RUN3_NB13|20A|B.1|2020/03/21"	"B.1"
